Club,Player,Span,Mat,Substitution ,Mins,Goals,xG,Shots,OnTarget,xG_Per_Avg_Match,Shots_Per_Avg_Match,On_Target_Per_Avg_Match,Goals_per_Match
(EIB),Kike GarcIa,(2016-2020),9,1,790,3,2.83,19,8,0.31,2.11,0.89,0.33
(RBL),Dani Olmo,(2016-2020),9,0,834,4,2.28,19,8,0.25,2.11,0.89,0.44
(NAN),Ludovic Blas,(2016-2020),11,1,990,4,1.88,19,7,0.17,1.73,0.64,0.36
(MAI),AÂdam Szalai,(2016-2020),7,15,833,8,3.95,18,15,0.56,2.57,2.14,1.14
(NAP),Hirving Lozano,(2016-2020),9,0,568,4,2.93,18,11,0.33,2.00,1.22,0.44
(AJA),Lassina Traore,(2016-2020),6,4,506,7,4.21,18,8,0.70,3.00,1.33,1.17
(CRY),Wilfried Zaha,(2016-2020),8,0,779,5,4.35,18,7,0.54,2.25,0.88,0.63
(ROM),Jordan Veretout,(2016-2020),9,0,769,4,3.48,18,7,0.39,2.00,0.78,0.44
(BOL),Roberto Soriano,(2016-2020),9,0,849,5,2.41,18,7,0.27,2.00,0.78,0.56
(LEN),Gael Kakuta,(2016-2020),10,1,786,5,4.14,18,6,0.41,1.80,0.60,0.50
(POR),Sergio Oliveira,(2016-2020),7,1,642,4,2.09,17,8,0.30,2.43,1.14,0.57
(PSV),Noni Madueke,(2016-2020),3,7,524,4,2.87,17,7,0.96,5.67,2.33,1.33
(GIL),Samuel Lino,(2016-2020),6,1,591,3,2.18,16,5,0.36,2.67,0.83,0.50
(FAM),Ruben Lameiras,(2016-2020),7,0,624,4,3.42,15,9,0.49,2.14,1.29,0.57
None,Danny Ings ,(2016-2020),7,0,662,5,2.58,15,9,0.37,2.14,1.29,0.71
(BEN),Gian-Luca Waldschmidt,(2016-2020),7,1,605,4,3.57,15,6,0.51,2.14,0.86,0.57
(FRA),Bas Dost,(2016-2020),8,1,732,3,3.24,14,8,0.41,1.75,1.00,0.38
(LIS),Andraz Sporar,(2016-2020),3,4,356,2,3.41,14,7,1.14,4.67,2.33,0.67
(LEN),Ignatius Ganago,(2016-2020),6,3,452,4,3.33,14,7,0.56,2.33,1.17,0.67
(BAR),Ansu Fati,(2016-2020),6,1,451,4,1.8,14,7,0.30,2.33,1.17,0.67
(PSG),Moise Kean,(2016-2020),6,0,454,4,3.2,14,5,0.53,2.33,0.83,0.67
(SEV),Youssef   En-Nesyri,(2016-2020),5,4,465,4,3.33,14,4,0.67,2.80,0.80,0.80
(AJA),Davy Klaassen,(2016-2020),6,0,490,5,4.02,13,8,0.67,2.17,1.33,0.83
(BAY),Thomas Muller,(2016-2020),9,0,822,4,3.2,13,5,0.36,1.44,0.56,0.44
(BEN),Haris  Seferovic,(2016-2020),2,5,337,6,3.33,12,7,1.67,6.00,3.50,3.00
(VIT),Armando Broja,(2016-2020),6,4,569,5,2.52,12,6,0.42,2.00,1.00,0.83
(FCA),Andre Hahn,(2016-2020),7,2,547,3,1.44,12,6,0.21,1.71,0.86,0.43
(BOA),Angel Gomes,(2016-2020),6,0,530,3,1.12,12,3,0.19,2.00,0.50,0.50
(FIO),Gaetano Castrovilli,(2016-2020),9,0,755,4,1.43,11,7,0.16,1.22,0.78,0.44
(FCA),Daniel Caligiuri,(2016-2020),9,0,841,3,0.8,11,5,0.09,1.22,0.56,0.33
(SOU),James Ward-Prowse,(2016-2020),10,0,960,4,0.71,10,7,0.07,1.00,0.70,0.40
(LIS),Nuno Santos,(2016-2020),6,2,567,3,1.55,10,5,0.26,1.67,0.83,0.50
(FAM),Carlos Valenzuela,(2016-2020),7,1,575,2,1.03,10,3,0.15,1.43,0.43,0.29
None,Alex Telles ,(2016-2020),3,0,280,2,2.36,9,5,0.79,3.00,1.67,0.67
(RMA),Federico Valverde,(2016-2020),6,2,566,3,1.13,9,5,0.19,1.50,0.83,0.50
(VAL),Carlos Soler,(2016-2020),6,1,599,4,3.34,8,5,0.56,1.33,0.83,0.67
(VGU),Andre Andre,(2016-2020),8,0,645,2,1.7,7,2,0.21,0.88,0.25,0.25
(BRA),Bruno Viana,(2016-2020),8,0,780,2,1.31,7,2,0.16,0.88,0.25,0.25
(KOL),Ellyes Skhiri,(2016-2020),8,0,709,3,1.87,6,3,0.23,0.75,0.38,0.38
(EIB),Esteban Burgos,(2016-2020),6,1,589,3,2.85,5,4,0.48,0.83,0.67,0.50
(FAR),Eduardo Mancha,(2016-2020),4,0,396,2,0.96,5,2,0.24,1.25,0.50,0.50
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
